Map Level Progress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Design Config,,,,,Metadata,,,,,,,Gameplay Data,,,,,,,Estimate,,Target,,Report,,,,,,,,,,,
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,95%,,,,,,,,,208,96.42%,00:03:30,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,95%,,,,,,,,,213,94.03%,00:03:30,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:00,95%,,,,,,,,,180,96.66%,00:03:00,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:00,90%,,,,,,,,,310,92.34%,00:05:00,90.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:30,75%,,,,,,,,,319,72.56%,00:05:30,75.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,100%,,,,,,,,,210,97.87%,00:03:30,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:07:00,55%,,,,,,,,,408,54.39%,00:07:00,55.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:00,100%,,,,,,,,,187,98.78%,00:03:00,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:00,75%,,,,,,,,,285,74.58%,00:05:00,75.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,100%,,,,,,,,,213,97.87%,00:03:30,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:30,95%,,,,,,,,,262,92.57%,00:04:30,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:06:00,65%,,,,,,,,,369,65.56%,00:06:00,65.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:30,90%,,,,,,,,,282,87.60%,00:04:30,90.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:00,95%,,,,,,,,,179,94.28%,00:03:00,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,95%,,,,,,,,,215,97.42%,00:03:30,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:02:30,95%,,,,,,,,,161,96.19%,00:02:30,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:30,65%,,,,,,,,,338,67.28%,00:05:30,65.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:00,95%,,,,,,,,,243,97.12%,00:04:00,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,100%,,,,,,,,,224,97.51%,00:03:30,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:00,95%,,,,,,,,,188,95.97%,00:03:00,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:00,85%,,,,,,,,,288,87.14%,00:05:00,85.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:07:30,55%,,,,,,,,,445,54.57%,00:07:30,55.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:00,95%,,,,,,,,,250,96.62%,00:04:00,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,100%,,,,,,,,,213,98.48%,00:03:30,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:30,95%,,,,,,,,,344,94.00%,00:05:30,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:00,85%,,,,,,,,,290,83.24%,00:05:00,85.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:07:30,35%,,,,,,,,,437,32.96%,00:07:30,35.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:00,95%,,,,,,,,,254,93.15%,00:04:00,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:00,95%,,,,,,,,,302,97.43%,00:05:00,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:06:00,85%,,,,,,,,,369,84.23%,00:06:00,85.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:00,95%,,,,,,,,,253,96.05%,00:04:00,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:06:00,60%,,,,,,,,,364,57.72%,00:06:00,60.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:00,85%,,,,,,,,,306,84.85%,00:05:00,85.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:30,90%,,,,,,,,,322,87.86%,00:05:30,90.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:00,100%,,,,,,,,,173,98.79%,00:03:00,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,90%,,,,,,,,,221,91.70%,00:03:30,90.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:06:30,40%,,,,,,,,,400,40.50%,00:06:30,40.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:02:30,100%,,,,,,,,,147,97.52%,00:02:30,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,95%,,,,,,,,,196,97.09%,00:03:30,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:30,95%,,,,,,,,,262,93.71%,00:04:30,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:00,100%,,,,,,,,,248,97.64%,00:04:00,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:00,85%,,,,,,,,,295,83.27%,00:05:00,85.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:30,90%,,,,,,,,,268,90.82%,00:04:30,90.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:02:30,100%,,,,,,,,,152,98.19%,00:02:30,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:00,95%,,,,,,,,,191,97.36%,00:03:00,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:06:00,90%,,,,,,,,,368,90.10%,00:06:00,90.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:30,40%,,,,,,,,,322,42.15%,00:05:30,40.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:30,100%,,,,,,,,,326,97.71%,00:05:30,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:07:30,75%,,,,,,,,,452,75.07%,00:07:30,75.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:00,100%,,,,,,,,,289,97.51%,00:05:00,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:06:00,95%,,,,,,,,,347,96.99%,00:06:00,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:30,50%,,,,,,,,,258,48.60%,00:04:30,50.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:00,100%,,,,,,,,,228,98.26%,00:04:00,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:00,95%,,,,,,,,,252,93.01%,00:04:00,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:00,95%,,,,,,,,,191,96.19%,00:03:00,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,95%,,,,,,,,,201,97.34%,00:03:30,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:08:30,60%,,,,,,,,,519,60.13%,00:08:30,60.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:00,95%,,,,,,,,,241,93.34%,00:04:00,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,85%,,,,,,,,,221,83.39%,00:03:30,85.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:06:30,80%,,,,,,,,,376,80.89%,00:06:30,80.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:02:30,85%,,,,,,,,,154,85.24%,00:02:30,85.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:08:30,45%,,,,,,,,,498,44.17%,00:08:30,45.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,95%,,,,,,,,,198,94.92%,00:03:30,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:00,100%,,,,,,,,,170,97.94%,00:03:00,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:01:30,100%,,,,,,,,,92,98.32%,00:01:30,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:02:30,100%,,,,,,,,,159,98.80%,00:02:30,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:09:00,45%,,,,,,,,,539,44.03%,00:09:00,45.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,100%,,,,,,,,,207,97.96%,00:03:30,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:00,90%,,,,,,,,,237,90.18%,00:04:00,90.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:30,80%,,,,,,,,,336,78.98%,00:05:30,80.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,100%,,,,,,,,,202,97.74%,00:03:30,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:08:30,55%,,,,,,,,,503,54.27%,00:08:30,55.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:30,90%,,,,,,,,,322,88.68%,00:05:30,90.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:00,100%,,,,,,,,,187,99.04%,00:03:00,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:06:00,70%,,,,,,,,,375,70.63%,00:06:00,70.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:30,95%,,,,,,,,,274,96.41%,00:04:30,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:06:30,80%,,,,,,,,,376,79.28%,00:06:30,80.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:00,95%,,,,,,,,,229,93.78%,00:04:00,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:06:00,75%,,,,,,,,,354,76.06%,00:06:00,75.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:07:30,90%,,,,,,,,,446,92.30%,00:07:30,90.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,100%,,,,,,,,,203,97.59%,00:03:30,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:07:30,60%,,,,,,,,,444,59.61%,00:07:30,60.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,85%,,,,,,,,,204,83.66%,00:03:30,85.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:00,70%,,,,,,,,,305,72.33%,00:05:00,70.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:00,100%,,,,,,,,,173,98.89%,00:03:00,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:00,100%,,,,,,,,,176,99.11%,00:03:00,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:30,55%,,,,,,,,,345,57.33%,00:05:30,55.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:02:00,100%,,,,,,,,,128,98.97%,00:02:00,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,90%,,,,,,,,,202,89.21%,00:03:30,90.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,95%,,,,,,,,,223,94.91%,00:03:30,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:30,85%,,,,,,,,,260,85.87%,00:04:30,85.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:09:30,35%,,,,,,,,,573,32.95%,00:09:30,35.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:00,80%,,,,,,,,,227,81.36%,00:04:00,80.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,95%,,,,,,,,,210,94.28%,00:03:30,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,95%,,,,,,,,,216,93.55%,00:03:30,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:00,95%,,,,,,,,,237,92.64%,00:04:00,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:07:30,50%,,,,,,,,,455,52.44%,00:07:30,50.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:00,95%,,,,,,,,,229,97.00%,00:04:00,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:30,90%,,,,,,,,,284,91.74%,00:04:30,90.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:00,100%,,,,,,,,,177,98.19%,00:03:00,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,95%,,,,,,,,,195,97.17%,00:03:30,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:30,65%,,,,,,,,,322,64.90%,00:05:30,65.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:08:00,90%,,,,,,,,,472,90.28%,00:08:00,90.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:01:00,100%,,,,,,,,,69,99.08%,00:01:00,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,85%,,,,,,,,,210,86.96%,00:03:30,85.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:02:30,100%,,,,,,,,,165,98.41%,00:02:30,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:10:00,55%,,,,,,,,,587,55.21%,00:10:00,55.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:30,95%,,,,,,,,,329,92.83%,00:05:30,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,95%,,,,,,,,,218,95.81%,00:03:30,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:07:00,90%,,,,,,,,,424,89.73%,00:07:00,90.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:00,95%,,,,,,,,,180,92.64%,00:03:00,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:07:00,55%,,,,,,,,,427,56.15%,00:07:00,55.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:02:30,70%,,,,,,,,,138,71.44%,00:02:30,70.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:01:30,100%,,,,,,,,,101,99.00%,00:01:30,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:01:30,100%,,,,,,,,,78,98.56%,00:01:30,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:30,100%,,,,,,,,,256,98.27%,00:04:30,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:00,70%,,,,,,,,,313,68.27%,00:05:00,70.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:00,100%,,,,,,,,,168,97.85%,00:03:00,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:02:30,100%,,,,,,,,,154,97.99%,00:02:30,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:02:00,100%,,,,,,,,,118,97.68%,00:02:00,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:00,95%,,,,,,,,,184,94.27%,00:03:00,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:30,60%,,,,,,,,,321,61.93%,00:05:30,60.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:02:30,100%,,,,,,,,,152,98.82%,00:02:30,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:00,80%,,,,,,,,,191,80.41%,00:03:00,80.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:02:00,100%,,,,,,,,,116,97.62%,00:02:00,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:02:00,100%,,,,,,,,,116,99.39%,00:02:00,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:10:00,50%,,,,,,,,,609,49.39%,00:10:00,50.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,90%,,,,,,,,,204,88.35%,00:03:30,90.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:00,100%,,,,,,,,,193,97.69%,00:03:00,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:30,90%,,,,,,,,,260,91.80%,00:04:30,90.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:02:30,95%,,,,,,,,,139,97.37%,00:02:30,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:30,65%,,,,,,,,,323,64.74%,00:05:30,65.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:01:30,100%,,,,,,,,,81,98.89%,00:01:30,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,95%,,,,,,,,,202,96.73%,00:03:30,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:00,100%,,,,,,,,,191,97.93%,00:03:00,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:00,80%,,,,,,,,,243,82.26%,00:04:00,80.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:00,65%,,,,,,,,,288,66.92%,00:05:00,65.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:02:00,100%,,,,,,,,,116,98.89%,00:02:00,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:01:30,95%,,,,,,,,,100,95.70%,00:01:30,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:02:00,85%,,,,,,,,,114,83.38%,00:02:00,85.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:01:30,95%,,,,,,,,,86,93.30%,00:01:30,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:08:30,50%,,,,,,,,,509,48.42%,00:08:30,50.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:01:00,100%,,,,,,,,,69,98.70%,00:01:00,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:06:00,85%,,,,,,,,,364,85.47%,00:06:00,85.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:01:00,100%,,,,,,,,,73,99.17%,00:01:00,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:00,95%,,,,,,,,,231,93.26%,00:04:00,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:07:00,80%,,,,,,,,,427,81.08%,00:07:00,80.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:30,65%,,,,,,,,,324,66.67%,00:05:30,65.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:02:00,100%,,,,,,,,,134,98.12%,00:02:00,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:01:30,95%,,,,,,,,,101,95.83%,00:01:30,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,100%,,,,,,,,,202,99.31%,00:03:30,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:07:30,65%,,,,,,,,,450,66.35%,00:07:30,65.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,95%,,,,,,,,,218,93.54%,00:03:30,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:30,90%,,,,,,,,,259,90.85%,00:04:30,90.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,95%,,,,,,,,,219,97.01%,00:03:30,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:00,95%,,,,,,,,,227,96.98%,00:04:00,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:06:30,70%,,,,,,,,,404,69.78%,00:06:30,70.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,100%,,,,,,,,,201,98.33%,00:03:30,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:30,85%,,,,,,,,,337,83.07%,00:05:30,85.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:02:30,100%,,,,,,,,,159,98.31%,00:02:30,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:00,100%,,,,,,,,,177,98.31%,00:03:00,100.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:06:00,55%,,,,,,,,,347,54.36%,00:06:00,55.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:06:00,75%,,,,,,,,,365,77.46%,00:06:00,75.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:30,80%,,,,,,,,,340,80.66%,00:05:30,80.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:30,95%,,,,,,,,,345,96.67%,00:05:30,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:07:00,80%,,,,,,,,,405,82.19%,00:07:00,80.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:07:00,60%,,,,,,,,,431,59.59%,00:07:00,60.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:00,95%,,,,,,,,,238,94.83%,00:04:00,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:00,90%,,,,,,,,,292,88.76%,00:05:00,90.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:04:30,95%,,,,,,,,,262,96.85%,00:04:30,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:06:00,70%,,,,,,,,,366,72.20%,00:06:00,70.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:10:00,60%,,,,,,,,,607,57.59%,00:10:00,60.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:06:00,75%,,,,,,,,,355,76.79%,00:06:00,75.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:08:00,80%,,,,,,,,,486,78.87%,00:08:00,80.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:00,60%,,,,,,,,,297,61.19%,00:05:00,60.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:30,75%,,,,,,,,,324,77.08%,00:05:30,75.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:11:30,50%,,,,,,,,,701,50.05%,00:11:30,50.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:07:30,60%,,,,,,,,,451,58.72%,00:07:30,60.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:07:30,85%,,,,,,,,,436,86.68%,00:07:30,85.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:06:00,70%,,,,,,,,,357,70.93%,00:06:00,70.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,95%,,,,,,,,,224,93.86%,00:03:30,95.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:10:00,60%,,,,,,,,,587,61.15%,00:10:00,60.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:00,80%,,,,,,,,,300,81.05%,00:05:00,80.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:06:00,60%,,,,,,,,,349,62.22%,00:06:00,60.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:03:30,85%,,,,,,,,,211,87.32%,00:03:30,85.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:05:30,75%,,,,,,,,,331,74.42%,00:05:30,75.00%
,,_,,,,,,,,1,1,0,,,,,,#N/A,~~,,,00:00:00,,00:08:00,65%,,,,,,,,,495,63.68%,00:08:00,65.00%
